id,start_utc,duration_minutes,home,away,matchup,event_name,short_name,venue,city,country,broadcasts,source_url
760452,2026-06-22T01:00Z,120,New Zealand,Egypt,New Zealand vs Egypt,Egypt at New Zealand,EGY @ NZL,BC Place,Vancouver,Canada,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760452/egypt-new-zealand
760456,2026-06-22T17:00Z,120,Argentina,Austria,Argentina vs Austria,Austria at Argentina,AUT @ ARG,AT&T Stadium,"Arlington, Texas",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760456/austria-argentina
760457,2026-06-22T21:00Z,120,France,Iraq,France vs Iraq,Iraq at France,IRQ @ FRA,Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760457/iraq-france
760454,2026-06-23T00:00Z,120,Norway,Senegal,Norway vs Senegal,Senegal at Norway,SEN @ NOR,MetLife Stadium,"East Rutherford, New Jersey",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760454/senegal-norway
760455,2026-06-23T03:00Z,120,Jordan,Algeria,Jordan vs Algeria,Algeria at Jordan,ALG @ JOR,Levi's Stadium,"Santa Clara, California",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760455/algeria-jordan
760461,2026-06-23T17:00Z,120,Portugal,Uzbekistan,Portugal vs Uzbekistan,Uzbekistan at Portugal,UZB @ POR,NRG Stadium,"Houston, Texas",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760461/uzbekistan-portugal
760458,2026-06-23T20:00Z,120,England,Ghana,England vs Ghana,Ghana at England,GHA @ ENG,Gillette Stadium,"Foxborough, Massachusetts",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760458/ghana-england
760460,2026-06-23T23:00Z,120,Panama,Croatia,Panama vs Croatia,Croatia at Panama,CRO @ PAN,BMO Field,Toronto,Canada,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760460/croatia-panama
760459,2026-06-24T02:00Z,120,Colombia,Congo DR,Colombia vs Congo DR,Congo DR at Colombia,COD @ COL,Estadio Akron,Guadalajara,Mexico,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760459/congo-dr-colombia
760462,2026-06-24T19:00Z,120,Bosnia-Herzegovina,Qatar,Bosnia-Herzegovina vs Qatar,Qatar at Bosnia-Herzegovina,QAT @ BIH,Lumen Field,"Seattle, Washington",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760462/qatar-bosnia-herzegovina
760463,2026-06-24T19:00Z,120,Switzerland,Canada,Switzerland vs Canada,Canada at Switzerland,CAN @ SUI,BC Place,Vancouver,Canada,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760463/canada-switzerland
760464,2026-06-24T22:00Z,120,Morocco,Haiti,Morocco vs Haiti,Haiti at Morocco,HAI @ MAR,Mercedes-Benz Stadium,"Atlanta, Georgia",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760464/haiti-morocco
760465,2026-06-24T22:00Z,120,Scotland,Brazil,Scotland vs Brazil,Brazil at Scotland,BRA @ SCO,Hard Rock Stadium,"Miami Gardens, Florida",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760465/brazil-scotland
760466,2026-06-25T01:00Z,120,South Africa,South Korea,South Africa vs South Korea,South Korea at South Africa,KOR @ RSA,Estadio BBVA,Guadalupe,Mexico,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760466/south-korea-south-africa
760467,2026-06-25T01:00Z,120,Czechia,Mexico,Czechia vs Mexico,Mexico at Czechia,MEX @ CZE,Estadio Banorte,Mexico City,Mexico,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760467/mexico-czechia
760468,2026-06-25T20:00Z,120,Ecuador,Germany,Ecuador vs Germany,Germany at Ecuador,GER @ ECU,MetLife Stadium,"East Rutherford, New Jersey",USA,"FOX, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760468/germany-ecuador
760473,2026-06-25T20:00Z,120,Curaçao,Ivory Coast,Curaçao vs Ivory Coast,Ivory Coast at Curaçao,CIV @ CUW,Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,"FS1, Tele, Peacock",https://www.espn.com/soccer/match/_/gameId/760473/ivory-coast-curacao
